! 5/6/2020 9:31:38 PM
! C:\ANRITSUVNA\TEMP\TEMP.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# HZ S RI R 50.0
! FREQ.HZ          S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
    8000000000    -0.1514726    0.1226094    -0.0475853    0.0191492    -0.0464853    0.0197747    -0.2909475   -0.0904417 
    8004003203    -0.1737549    0.1233775    -0.0454455    0.0273587    -0.0434627    0.0275056    -0.2796850   -0.1074014 
    8008006405    -0.1882831    0.1253543    -0.0402825    0.0361146    -0.0386647    0.0356029    -0.2637044   -0.1192123 
    8012009608    -0.1991284    0.1210041    -0.0326199    0.0444445    -0.0314901    0.0436017    -0.2426534   -0.1277676 
    8016012810    -0.2031460    0.1097638    -0.0216855    0.0502038    -0.0210774    0.0493978    -0.2158740   -0.1330871 
    8020016013    -0.2015883    0.0921531    -0.0105299    0.0512419    -0.0102468    0.0506160    -0.1869727   -0.1346161 
    8024019215    -0.1990522    0.0712693    -0.0020287    0.0498065    -0.0017955    0.0492033    -0.1580859   -0.1321687 
    8028022418    -0.1919887    0.0493102     0.0045372    0.0490284     0.0047662    0.0483340    -0.1298704   -0.1244074 
    8032025620    -0.1821192    0.0302546     0.0115608    0.0484085     0.0117987    0.0476881    -0.1039046   -0.1115943 
    8036028823    -0.1690511    0.0138364     0.0190869    0.0471426     0.0193328    0.0464689    -0.0810734   -0.0928183 
    8040032026    -0.1551817    0.0014894     0.0276682    0.0446902     0.0278832    0.0437793    -0.0612459   -0.0690021 
    8044035228    -0.1383857   -0.0023479     0.0361429    0.0394387     0.0362000    0.0385292    -0.0454494   -0.0417388 
    8048038431    -0.1192649    0.0003344     0.0429812    0.0322360     0.0428063    0.0315125    -0.0351502   -0.0142508 
    8052041633    -0.0963020    0.0102416     0.0483039    0.0236522     0.0480743    0.0231061    -0.0316245    0.0148815 
    8056044836    -0.0695383    0.0229496     0.0512112    0.0141964     0.0510288    0.0138582    -0.0352560    0.0440259 
    8060048038    -0.0414197    0.0363086     0.0520854    0.0049044     0.0519583    0.0049936    -0.0439762    0.0722610 
    8064051241    -0.0180066    0.0482812     0.0513677   -0.0035495     0.0513281   -0.0032460    -0.0559117    0.0989303 
    8068054444    -0.0009459    0.0604475     0.0501783   -0.0109005     0.0502778   -0.0103785    -0.0705899    0.1185939 
    8072057646     0.0104961    0.0745088     0.0489981   -0.0186594     0.0493251   -0.0180401    -0.0887325    0.1305645 
    8076060849     0.0191862    0.0910271     0.0469136   -0.0271458     0.0470778   -0.0266349    -0.1111049    0.1369636 
    8080064051     0.0235876    0.1074632     0.0430321   -0.0362762     0.0431218   -0.0357277    -0.1358038    0.1401941 
    8084067254     0.0226329    0.1235802     0.0362236   -0.0456118     0.0361894   -0.0450230    -0.1597238    0.1390613 
    8088070456     0.0169527    0.1391917     0.0258683   -0.0527834     0.0255607   -0.0520290    -0.1801633    0.1332571 
    8092073659     0.0080186    0.1573841     0.0139798   -0.0559627     0.0136695   -0.0548271    -0.1974352    0.1214233 
    8096076861     0.0001139    0.1769131     0.0029266   -0.0551229     0.0028050   -0.0539290    -0.2114567    0.1060525 
    8100080064    -0.0043525    0.1920268    -0.0054207   -0.0523342    -0.0053365   -0.0510450    -0.2210282    0.0888164 
    8104083267    -0.0084995    0.2012604    -0.0118358   -0.0503444    -0.0116199   -0.0489951    -0.2238828    0.0703737 
    8108086469    -0.0128533    0.2055578    -0.0185550   -0.0489045    -0.0180203   -0.0476616    -0.2195462    0.0503287 
    8112089672    -0.0184347    0.2055319    -0.0266698   -0.0475663    -0.0260650   -0.0463138    -0.2081174    0.0285464 
    8116092874    -0.0249263    0.2005210    -0.0367142   -0.0439910    -0.0356415   -0.0429719    -0.1909304    0.0046913 
    8120096077    -0.0319678    0.1889125    -0.0468659   -0.0368612    -0.0453712   -0.0360055    -0.1690632   -0.0201412 
    8124099279    -0.0406592    0.1724797    -0.0552451   -0.0258853    -0.0534760   -0.0255645    -0.1458348   -0.0430960 
    8128102482    -0.0507614    0.1526527    -0.0592648   -0.0118704    -0.0575818   -0.0120128    -0.1199958   -0.0614611 
    8132105685    -0.0623804    0.1333970    -0.0578836    0.0017387    -0.0562936    0.0010205    -0.0918338   -0.0752611 
    8136108887    -0.0709753    0.1167111    -0.0528175    0.0119851    -0.0518070    0.0110390    -0.0631010   -0.0843763 
    8140112090    -0.0708422    0.1019159    -0.0472619    0.0188007    -0.0466225    0.0179345    -0.0357597   -0.0880480 
    8144115292    -0.0632746    0.0848283    -0.0427570    0.0233467    -0.0422847    0.0226964    -0.0100510   -0.0839033 
    8148118495    -0.0527343    0.0670142    -0.0395994    0.0277385    -0.0394108    0.0272762     0.0129924   -0.0716169 
    8152121697    -0.0376235    0.0516715    -0.0368621    0.0331634    -0.0366838    0.0330746     0.0353106   -0.0521892 
    8156124900    -0.0186912    0.0376847    -0.0330607    0.0399732    -0.0328297    0.0400611     0.0548110   -0.0298598 
    8160128102     0.0042191    0.0273814    -0.0266550    0.0469568    -0.0262545    0.0474188     0.0689064   -0.0044118 
    8164131305     0.0313711    0.0204994    -0.0175474    0.0529882    -0.0170597    0.0534364     0.0778571    0.0223690 
    8168134508     0.0591174    0.0139034    -0.0061224    0.0559881    -0.0053860    0.0564296     0.0793223    0.0503751 
    8172137710     0.0829574    0.0067957     0.0057436    0.0551754     0.0063082    0.0554535     0.0745865    0.0789112 
    8176140913     0.0986456    0.0058342     0.0159210    0.0512393     0.0162467    0.0514524     0.0677346    0.1060670 
    8180144115     0.1097033    0.0124671     0.0229817    0.0455578     0.0232163    0.0458701     0.0577328    0.1252010 
    8184147318     0.1205799    0.0287685     0.0281209    0.0412754     0.0280367    0.0414475     0.0423260    0.1363066 
    8188150520     0.1322487    0.0475236     0.0340470    0.0380240     0.0337225    0.0382441     0.0214627    0.1409429 
    8192153723     0.1414009    0.0652876     0.0411693    0.0330800     0.0405915    0.0334028    -0.0031649    0.1406296 
    8196156926     0.1472505    0.0826557     0.0475093    0.0259253     0.0469035    0.0264703    -0.0269635    0.1349554 
    8200160128     0.1494830    0.0966266     0.0522736    0.0170399     0.0516456    0.0176098    -0.0485001    0.1227637 
    8204163331     0.1478659    0.1088530     0.0547674    0.0074924     0.0543239    0.0082082    -0.0684772    0.1039201 
    8208166533     0.1447817    0.1158280     0.0560062   -0.0024816     0.0556702   -0.0019276    -0.0867900    0.0789913 
    8212169736     0.1380872    0.1171467     0.0551601   -0.0135961     0.0547165   -0.0132319    -0.1035643    0.0507014 
    8216172938     0.1231112    0.1128957     0.0503489   -0.0244750     0.0498064   -0.0242571    -0.1167617    0.0233001 
