! 5/6/2020 9:36:50 PM
! C:\ANRITSUVNA\TEMP\TEMP.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# HZ S RI R 50.0
! FREQ.HZ          S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
    8000000000    -0.1521576    0.1229034    -0.0476727    0.0195756    -0.0465780    0.0200771    -0.2914717   -0.0911710 
    8004003203    -0.1742573    0.1238811    -0.0456899    0.0277423    -0.0435614    0.0278651    -0.2802779   -0.1080547 
    8008006405    -0.1886782    0.1264782    -0.0404272    0.0365334    -0.0386833    0.0362808    -0.2645074   -0.1194304 
    8012009608    -0.1995739    0.1227659    -0.0326648    0.0448545    -0.0313267    0.0443291    -0.2433654   -0.1274955 
    8016012810    -0.2031460    0.1121538    -0.0215948    0.0506129    -0.0206976    0.0499987    -0.2160022   -0.1322481 
    8020016013    -0.2012551    0.0946602    -0.0103638    0.0517583    -0.0096362    0.0510534    -0.1864517   -0.1339231 
    8024019215    -0.1984773    0.0742931    -0.0019106    0.0499973    -0.0011663    0.0495068    -0.1571110   -0.1317023 
    8028022418    -0.1915294    0.0525196     0.0046429    0.0490774     0.0053056    0.0484601    -0.1288113   -0.1244505 
    8032025620    -0.1817939    0.0335052     0.0115269    0.0484184     0.0124292    0.0478230    -0.1032006   -0.1121946 
    8036028823    -0.1690299    0.0173907     0.0190271    0.0473940     0.0199828    0.0464667    -0.0810308   -0.0936686 
    8040032026    -0.1558187    0.0053702     0.0275597    0.0449036     0.0286427    0.0435409    -0.0619767   -0.0695231 
    8044035228    -0.1393719    0.0018029     0.0360106    0.0395725     0.0368904    0.0380874    -0.0466610   -0.0416990 
    8048038431    -0.1204670    0.0045339     0.0428678    0.0324262     0.0432010    0.0308274    -0.0364400   -0.0135949 
    8052041633    -0.0978378    0.0143506     0.0480543    0.0240613     0.0483206    0.0225865    -0.0328954    0.0160559 
    8056044836    -0.0713311    0.0264866     0.0511614    0.0147673     0.0511111    0.0134934    -0.0361885    0.0454463 
    8060048038    -0.0437083    0.0396518     0.0522988    0.0055147     0.0522899    0.0045908    -0.0446862    0.0737886 
    8064051241    -0.0205100    0.0511630     0.0517853   -0.0030436     0.0516304   -0.0038012    -0.0559384    0.1003289 
