Freq [GHz],RCSTotal [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'
2,0.016388322
2.01,0.015781467
2.02,0.015173362
2.03,0.0145667
2.04,0.013964161
2.05,0.013368394
2.06,0.012782008
2.07,0.012207559
2.08,0.011647532
2.09,0.011104332
2.1,0.010580273
2.11,0.010077561
2.12,0.009598285
2.13,0.009144408
2.14,0.008717755
2.15,0.008320002
2.16,0.007952674
2.17,0.007617132
2.18,0.007314569
2.19,0.007046006
2.2,0.006812289
2.21,0.006614084
2.22,0.006451878
2.23,0.006325977
2.24,0.006236507
2.25,0.00618342
2.26,0.006166491
2.27,0.006185326
2.28,0.006239366
2.29,0.006327892
2.3,0.006450035
2.31,0.006604776
2.32,0.006790961
2.33,0.007007306
2.34,0.007252405
2.35,0.007524742
2.36,0.007822696
2.37,0.008144555
2.38,0.008488523
2.39,0.008852728
2.4,0.009235237
2.41,0.009634062
2.42,0.010047167
2.43,0.010472484
2.44,0.010907919
2.45,0.011351358
2.46,0.011800684
2.47,0.012253776
2.48,0.012708526
2.49,0.013162843
2.5,0.01361466
2.51,0.014061948
2.52,0.014502716
2.53,0.014935023
2.54,0.015356986
2.55,0.015766781
2.56,0.016162659
2.57,0.016542943
2.58,0.016906039
2.59,0.017250442
2.6,0.017574741
2.61,0.017877622
2.62,0.018157877
2.63,0.018414404
2.64,0.018646215
2.65,0.018852438
2.66,0.01903232
2.67,0.019185232
2.68,0.019310669
2.69,0.019408255
2.7,0.019477739
2.71,0.019519004
2.72,0.01953206
2.73,0.019517048
2.74,0.019474236
2.75,0.019404022
2.76,0.01930693
2.77,0.019183603
2.78,0.019034806
2.79,0.018861421
2.8,0.018664438
2.81,0.018444954
2.82,0.018204167
2.83,0.017943368
2.84,0.017663935
2.85,0.017367325
2.86,0.017055069
2.87,0.016728761
2.88,0.016390051
2.89,0.016040635
2.9,0.015682249
2.91,0.015316657
2.92,0.014945641
2.93,0.014570999
2.94,0.014194525
