! 5/11/2020 2:56:26 PM
! C:\ANRITSUVNA\TEMP\TEMP.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# HZ S RI R 50.0
! FREQ.HZ          S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
! GATING applied
    8000000000    -0.0026778   -0.0048301    -0.0016470    0.0008297    -0.0015764    0.0006622    -0.0023225    0.0010919 
    8004003203    -0.0040550   -0.0036936    -0.0013378    0.0012751    -0.0013245    0.0010873    -0.0018608    0.0017982 
    8008006405    -0.0049781   -0.0021817    -0.0009125    0.0016114    -0.0009617    0.0014221    -0.0011859    0.0023139 
    8012009608    -0.0053531   -0.0004687    -0.0004080    0.0018096    -0.0005188    0.0016390    -0.0003753    0.0025767 
    8016012810    -0.0051510    0.0012516     0.0001320    0.0018532    -0.0000332    0.0017203     0.0004769    0.0025554 
    8020016013    -0.0044095    0.0027892     0.0006611    0.0017386     0.0004544    0.0016600     0.0012716    0.0022533 
    8024019215    -0.0032270    0.0039806     0.0011339    0.0014763     0.0009035    0.0014640     0.0019175    0.0017076 
    8028022418    -0.0017488    0.0047073     0.0015104    0.0010894     0.0012772    0.0011498     0.0023423    0.0009846 
    8032025620    -0.0001486    0.0049081     0.0017589    0.0006112     0.0015454    0.0007441     0.0025016    0.0001706 
    8036028823     0.0013934    0.0045839     0.0018590    0.0000831     0.0016873    0.0002814     0.0023834   -0.0006393 
    8040032026     0.0027114    0.0037951     0.0018033   -0.0004499     0.0016927   -0.0001999     0.0020094   -0.0013525 
    8044035228     0.0036734    0.0026520     0.0015977   -0.0009429     0.0015630   -0.0006602     0.0014306   -0.0018912 
    8048038431     0.0041946    0.0012990     0.0012607   -0.0013546     0.0013108   -0.0010625     0.0007209   -0.0022006 
    8052041633     0.0042449   -0.0001042     0.0008219   -0.0016511     0.0009585   -0.0013751    -0.0000337   -0.0022554 
    8056044836     0.0038493   -0.0014016     0.0003193   -0.0018090     0.0005366   -0.0015744    -0.0007450   -0.0020611 
    8060048038     0.0030814   -0.0024597    -0.0002044   -0.0018166     0.0000803   -0.0016466    -0.0013344   -0.0016526 
    8064051241     0.0020521   -0.0031812    -0.0007051   -0.0016753    -0.0003729   -0.0015887    -0.0017415   -0.0010883 
    8068054444     0.0008933   -0.0035139    -0.0011415   -0.0013990    -0.0007867   -0.0014086    -0.0019306   -0.0004417 
    8072057646    -0.0002585   -0.0034540    -0.0014783   -0.0010128    -0.0011289   -0.0011237    -0.0018940    0.0002080 
    8076060849    -0.0012790   -0.0030422    -0.0016891   -0.0005507    -0.0013743   -0.0007599    -0.0016510    0.0007863 
    8080064051    -0.0020696   -0.0023557    -0.0017589   -0.0000525    -0.0015061   -0.0003486    -0.0012441    0.0012319 
    8084067254    -0.0025669   -0.0014958    -0.0016845    0.0004397    -0.0015176    0.0000758    -0.0007323    0.0015034 
    8088070456    -0.0027472   -0.0005736    -0.0014753    0.0008852    -0.0014120    0.0004790    -0.0001831    0.0015829 
    8092073659    -0.0026253    0.0003040    -0.0011517    0.0012482    -0.0012022    0.0008295     0.0003368    0.0014768 
    8096076861    -0.0022490    0.0010467    -0.0007434    0.0015003    -0.0009091    0.0011014     0.0007693    0.0012134 
    8100080064    -0.0016899    0.0015900    -0.0002866    0.0016237    -0.0005598    0.0012764     0.0010713    0.0008372 
    8104083267    -0.0010322    0.0019002     0.0001795    0.0016115    -0.0001848    0.0013448     0.0012191    0.0004028 
    8108086469    -0.0003609    0.0019747     0.0006155    0.0014687     0.0001844    0.0013062     0.0012096   -0.0000327 
    8112089672     0.0002489    0.0018391     0.0009859    0.0012113     0.0005183    0.0011692     0.0010591   -0.0004175 
    8116092874     0.0007396    0.0015398     0.0012619    0.0008646     0.0007917    0.0009504     0.0007994   -0.0007102 
    8120096077     0.0010765    0.0011357     0.0014232    0.0004608     0.0009858    0.0006724     0.0004729   -0.0008847 
    8124099279     0.0012486    0.0006891     0.0014603    0.0000361     0.0010893    0.0003615     0.0001259   -0.0009318 
    8128102482     0.0012670    0.0002569     0.0013746   -0.0003725     0.0010996    0.0000457    -0.0001968   -0.0008587 
    8132105685     0.0011593   -0.0001157     0.0011782   -0.0007307     0.0010221   -0.0002483    -0.0004581   -0.0006869 
    8136108887     0.0009639   -0.0003998     0.0008924   -0.0010097     0.0008696   -0.0004970    -0.0006319   -0.0004477 
    8140112090     0.0007225   -0.0005836     0.0005456   -0.0011883     0.0006608   -0.0006825    -0.0007056   -0.0001778 
    8144115292     0.0004737   -0.0006710     0.0001708   -0.0012553     0.0004184   -0.0007935    -0.0006801    0.0000859 
    8148118495     0.0002478   -0.0006783    -0.0001976   -0.0012094     0.0001665   -0.0008263    -0.0005685    0.0003111 
    8152121697     0.0000641   -0.0006288    -0.0005271   -0.0010598    -0.0000711   -0.0007846    -0.0003932    0.0004734 
    8156124900    -0.0000701   -0.0005480    -0.0007897   -0.0008244    -0.0002736   -0.0006788    -0.0001821    0.0005586 
    8160128102    -0.0001581   -0.0004584    -0.0009642   -0.0005287    -0.0004250   -0.0005248     0.0000353    0.0005630 
    8164131305    -0.0002109   -0.0003760    -0.0010385   -0.0002027    -0.0005150   -0.0003422     0.0002318    0.0004935 
    8168134508    -0.0002428   -0.0003089    -0.0010101    0.0001217    -0.0005404   -0.0001524     0.0003851    0.0003645 
    8172137710    -0.0002680   -0.0002567    -0.0008860    0.0004138    -0.0005046    0.0000241     0.0004804    0.0001964 
    8176140913    -0.0002966   -0.0002127    -0.0006822    0.0006467    -0.0004171    0.0001691     0.0005109    0.0000120 
    8180144115    -0.0003328   -0.0001664    -0.0004218    0.0008000    -0.0002926    0.0002687     0.0004777   -0.0001664 
    8184147318    -0.0003737   -0.0001072    -0.0001327    0.0008614    -0.0001489    0.0003148     0.0003889   -0.0003193 
    8188150520    -0.0004108   -0.0000274     0.0001550    0.0008277    -0.0000055    0.0003056     0.0002577   -0.0004316 
    8192153723    -0.0004314    0.0000749     0.0004119    0.0007053     0.0001190    0.0002454     0.0001002   -0.0004939 
    8196156926    -0.0004224    0.0001950     0.0006123    0.0005091     0.0002088    0.0001445    -0.0000661   -0.0005025 
    8200160128    -0.0003732    0.0003214     0.0007362    0.0002609     0.0002519    0.0000177    -0.0002245   -0.0004591 
    8204163331    -0.0002787    0.0004376     0.0007718   -0.0000122     0.0002425   -0.0001171    -0.0003606   -0.0003701 
    8208166533    -0.0001410    0.0005249     0.0007157   -0.0002809     0.0001804   -0.0002411    -0.0004628   -0.0002450 
    8212169736     0.0000292    0.0005657     0.0005743   -0.0005165     0.0000720   -0.0003362    -0.0005233   -0.0000956 
    8216172938     0.0002145    0.0005470     0.0003622   -0.0006936    -0.0000707   -0.0003875    -0.0005376    0.0000651 
    8220176141     0.0003921    0.0004631     0.0001013   -0.0007923    -0.0002312   -0.0003845    -0.0005050    0.0002240 
    8224179343     0.0005375    0.0003177    -0.0001813   -0.0008007    -0.0003905   -0.0003225    -0.0004280    0.0003685 
    8228182546     0.0006284    0.0001237    -0.0004561   -0.0007156    -0.0005283   -0.0002034    -0.0003119    0.0004873 
    8232185749     0.0006480   -0.0000974    -0.0006936   -0.0005433    -0.0006258   -0.0000354    -0.0001648    0.0005705 
    8236188951     0.0005883   -0.0003186    -0.0008677   -0.0002987    -0.0006673    0.0001673     0.0000034    0.0006106 
    8240192154     0.0004519   -0.0005108    -0.0009578   -0.0000043    -0.0006423    0.0003859     0.0001805    0.0006024 
    8244195356     0.0002521   -0.0006471    -0.0009511    0.0003118    -0.0005462    0.0005986     0.0003533    0.0005439 
    8248198559     0.0000118   -0.0007066    -0.0008437    0.0006188    -0.0003818    0.0007828     0.0005078    0.0004364 
    8252201761    -0.0002396   -0.0006778    -0.0006416    0.0008855    -0.0001585    0.0009172     0.0006302    0.0002851 
    8256204964    -0.0004695   -0.0005604    -0.0003599    0.0010839     0.0001074    0.0009838     0.0007081    0.0000993 
    8260208167    -0.0006471   -0.0003664    -0.0000216    0.0011914     0.0003948    0.0009703     0.0007313   -0.0001081 
    8264211369    -0.0007473   -0.0001180     0.0003438    0.0011930     0.0006789    0.0008706     0.0006935   -0.0003212 
    8268214572    -0.0007543    0.0001544     0.0007035    0.0010832     0.0009338    0.0006869     0.0005930   -0.0005218 
    8272217774    -0.0006640    0.0004164     0.0010240    0.0008666     0.0011346    0.0004286     0.0004337   -0.0006911 
    8276220977    -0.0004852    0.0006337     0.0012743    0.0005576     0.0012597    0.0001128     0.0002252   -0.0008114 
    8280224179    -0.0002381    0.0007774     0.0014284    0.0001795     0.0012933   -0.0002375    -0.0000173   -0.0008682 
    8284227382     0.0000477    0.0008270     0.0014682   -0.0002375     0.0012264   -0.0005951    -0.0002741   -0.0008515 
    8288230584     0.0003372    0.0007737     0.0013850   -0.0006587     0.0010585   -0.0009306    -0.0005224   -0.0007576 
    8292233787     0.0005940    0.0006216     0.0011808   -0.0010478     0.0007975   -0.0012152    -0.0007387   -0.0005903 
    8296236990     0.0007855    0.0003874     0.0008679   -0.0013703     0.0004597   -0.0014231    -0.0009008   -0.0003604 
    8300240192     0.0008864    0.0000981     0.0004686   -0.0015963     0.0000685   -0.0015336    -0.0009904   -0.0000858 
    8304243395     0.0008826   -0.0002121     0.0000130   -0.0017032    -0.0003475   -0.0015335    -0.0009951    0.0002102 
    8308246597     0.0007724   -0.0005059    -0.0004629   -0.0016781    -0.0007564   -0.0014181    -0.0009102    0.0005010 
    8312249800     0.0005672   -0.0007478    -0.0009208   -0.0015187    -0.0011258   -0.0011919    -0.0007396    0.0007590 
    8316253002     0.0002898   -0.0009082    -0.0013227   -0.0012339    -0.0014255   -0.0008686    -0.0004956    0.0009588 
    8320256205    -0.0000283   -0.0009670    -0.0016346   -0.0008434    -0.0016299   -0.0004702    -0.0001982    0.0010794 
    8324259408    -0.0003505   -0.0009160    -0.0018289   -0.0003759    -0.0017206   -0.0000250     0.0001266    0.0011071 
    8328262610    -0.0006397   -0.0007600    -0.0018876    0.0001331    -0.0016876    0.0004339     0.0004495    0.0010364 
    8332265813    -0.0008627   -0.0005156    -0.0018032    0.0006440    -0.0015305    0.0008717     0.0007406    0.0008714 
    8336269015    -0.0009938   -0.0002098    -0.0015797    0.0011163    -0.0012589    0.0012549     0.0009724    0.0006252 
    8340272218    -0.0010179    0.0001236    -0.0012325    0.0015124    -0.0008913    0.0015533     0.0011226    0.0003189 
    8344275420    -0.0009318    0.0004480    -0.0007873    0.0018002    -0.0004542    0.0017431     0.0011764   -0.0000206 
    8348278623    -0.0007449    0.0007277    -0.0002776    0.0019560     0.0000202    0.0018089     0.0011276   -0.0003629 
    8352281825    -0.0004772    0.0009326     0.0002574    0.0019666     0.0004966    0.0017445     0.0009799   -0.0006772 
    8356285028    -0.0001578    0.0010409     0.0007763    0.0018304     0.0009392    0.0015540     0.0007460   -0.0009352 
    8360288231     0.0001795    0.0010414     0.0012389    0.0015573     0.0013146    0.0012514     0.0004465   -0.0011141 
