"Freq [GHz]","RCSTotal [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'"
0.04,8.31356816255497E-07
0.05,2.02921132521091E-06
0.06,4.20662414918286E-06
0.07,7.79092409964401E-06
0.08,1.32866804043051E-05
0.09,2.12756424245844E-05
0.1,3.24167283874096E-05
0.11,4.7445994543553E-05
0.12,6.71764264498237E-05
0.13,9.24972908539151E-05
0.14,0.000124372700308809
0.15,0.000163839049460366
0.16,0.000212001158554379
0.17,0.00027002733890068
0.18,0.000339144081438029
0.19,0.000420631444042159
0.2,0.000515820172784405
0.21,0.00062609107673216
0.22,0.000752876374970869
0.23,0.000897662005768352
0.24,0.00106198966035725
0.25,0.00124745745496352
0.26,0.00145571859739812
0.27,0.00168847780995464
0.28,0.00194748557986091
0.29,0.00223453034099595
0.3,0.00255142870122128
0.31,0.00290001383370712
0.32,0.0032821220230128
0.33,0.00369957731785179
0.34,0.00415417426311048
0.35,0.00464765861781583
0.36,0.00518170588346686
0.37,0.00575789771583745
0.38,0.00637769602076143
0.39,0.00704241476579244
0.4,0.00775318977483697
0.41,0.00851094667011696
0.42,0.00931636704357594
0.43,0.0101698540124918
0.44,0.0110714968843374
0.45,0.0120210361387352
0.46,0.0130178293808892
0.47,0.0140608186440869
0.48,0.0151485006071063
0.49,0.0162788997459179
0.5,0.0174495459574712
0.51,0.018657457425821
0.52,0.0198991297273406
0.53,0.0211705318492457
0.54,0.0224671109647675
0.55,0.0237838055530695
0.56,0.0251150688508559
0.57,0.0264549021022482
0.58,0.0277968993619792
0.59,0.0291343020423748
0.6,0.0304600646436433
0.61,0.0317669295394248
0.62,0.0330475106259171
0.63,0.0342943835293335
0.64,0.0355001816048958
0.65,0.0366576931395249
0.66,0.0377599598726093
0.67,0.0388003720580524
0.68,0.0397727582431068
0.69,0.0406714676659889
0.7,0.0414914412746573
0.71,0.0422282706192648
0.72,0.0428782442914376
0.73,0.0434383771095447
0.74,0.0439064271270067
0.75,0.0442808956994685
0.76,0.0445610144162577
0.77,0.0447467198599919
0.78,0.0448386159883252
0.79,0.0448379287735185
0.8,0.0447464520812896
0.81,0.0445664899073716
0.82,0.0443007956170846
0.83,0.0439525085123692
0.84,0.0435250936810756
0.85,0.0430222802809601
0.86,0.0424480073997964
0.87,0.0418063697982163
0.88,0.0411015721680134
0.89,0.0403378861723211
0.9,0.0395196138954312
0.91,0.0386510569354225
0.92,0.0377364904860408
0.93,0.0367801420414466
0.94,0.0357861751711779
0.95,0.0347586784221227
0.96,0.0337016560578592
0.97,0.03261902302798
0.98,0.0315146040527996
0.99,0.0303921328524875
1,0.029255253598802
1.01,0.0281075260980477
1.02,0.0269524288549637
1.03,0.0257933647460992
1.04,0.0246336657503742
1.05,0.0234766001196294
1.06,0.0223253754483036
1.07,0.0211831448276305
1.08,0.0200530102702012
1.09,0.0189380256529677
1.1,0.0178411982030803
1.11,0.0167654903849871
1.12,0.0157138174128299
1.13,0.0146890471006627
1.14,0.0136939948007779
1.15,0.0127314187119404
1.16,0.0118040135739023
1.17,0.010914402492986
1.18,0.0100651268493601
1.19,0.00925863646021279
1.2,0.0084972763011445
1.21,0.00778327428475185
1.22,0.00711872689969377
1.23,0.00650558419602309
1.24,0.00594563507338901
1.25,0.00544049115358113
1.26,0.00499157239364482
1.27,0.00460009116634107
1.28,0.00426703842952282
1.29,0.0039931703212153
1.3,0.00377899565662947
1.31,0.00362476567562558
1.32,0.00353046509402936
1.33,0.00349580529284843
1.34,0.00352021978908861
1.35,0.00360286206295358
1.36,0.00374260606368453
1.37,0.00393804918028586
1.38,0.00418751782184425
1.39,0.004489076129013
1.4,0.00484053616901457
1.41,0.00523947193367817
1.42,0.00568323421324431
1.43,0.00616896864680667
1.44,0.00669363468762565
1.45,0.00725402660952815
1.46,0.00784679601857233
1.47,0.00846847367672443
1.48,0.00911549394580678
1.49,0.00978421820500719
1.5,0.0104709587691451
1.51,0.0111720016701035
1.52,0.0118836302346212
1.53,0.0126021461859683
1.54,0.0133238907803891
1.55,0.0140452647811865
1.56,0.0147627459975776
1.57,0.0154729064570852
1.58,0.0161724276656514
1.59,0.0168581137985015
1.6,0.0175269047821634
1.61,0.0181758852426134
1.62,0.0188022946974749
1.63,0.0194035357113105
1.64,0.0199771779002705
1.65,0.0205209646580682
1.66,0.0210328171134448
1.67,0.0215108355405477
1.68,0.0219533020791795
1.69,0.0223586825704822
1.7,0.0227256242579693
1.71,0.0230529585653562
1.72,0.0233396980114033
1.73,0.0235850367334136
1.74,0.0237883466651054
1.75,0.0239491784385597
1.76,0.0240672565988324
1.77,0.0241424800104912
1.78,0.0241749154391867
1.79,0.0241647994341957
1.8,0.0241125326221072
1.81,0.0240186772864811
1.82,0.0238839547702093
1.83,0.0237092411135435
1.84,0.0234955647724569
1.85,0.023244102143608
1.86,0.0229561732171181
1.87,0.0226332378287663
1.88,0.0222768898269563
1.89,0.0218888522177341
1.9,0.0214709719776545
1.91,0.021025213133307
1.92,0.0205536501762692
1.93,0.0200584603111769
1.94,0.019541915595792
1.95,0.0190063748482997
1.96,0.0184542741056899
1.97,0.017888115895581
1.98,0.0173104600572862
1.99,0.0167239116686873
2,0.0161311107087682
2.01,0.0155347187544201
2.02,0.0149374068945047
2.03,0.0143418436581351
2.04,0.0137506808405228
2.05,0.0131665412756034
2.06,0.0125920047566058
2.07,0.012029595744246
2.08,0.0114817693621147
2.09,0.010950899158201
2.1,0.0104392649179462
2.11,0.00994903998165811
2.12,0.00948228107447594
2.13,0.0090409165812708
2.14,0.00862673767572677
2.15,0.00824138913069767
2.16,0.00788636108423557
2.17,0.00756298311374176
2.18,0.00727241723911677
2.19,0.00701565440252756
2.2,0.00679351014964084
2.21,0.00660662270448751
2.22,0.00645545122943921
2.23,0.0063402767827285
2.24,0.00626120180134545
2.25,0.00621815381719477
2.26,0.0062108874358283
2.27,0.0062389883566308
2.28,0.00630187868059339
2.29,0.00639882290486867
2.3,0.00652893343738227
2.31,0.00669117853584354
2.32,0.00688438957041901
2.33,0.00710726877222722
2.34,0.00735839912094585
2.35,0.00763625208382047
2.36,0.00793919677938989
2.37,0.0082655100224034
2.38,0.00861338569665931
2.39,0.00898094385262688
2.4,0.00936624044199233
2.41,0.00976727816666965
2.42,0.0101820137683707
2.43,0.0106083690712188
2.44,0.0110442405059071
2.45,0.0114875071199846
2.46,0.0119360404012629
2.47,0.0123877127011244
2.48,0.0128404064339415
2.49,0.0132920220612683
2.5,0.0137404860049196
2.51,0.0141837595169879
2.52,0.0146198461454913
2.53,0.0150467982771019
